Ticker / Index,Name,Date,Value,Change,ISIN
OMXBBGI,OMX_Baltic_Benchmark_GI,01.06.2006,562;67,4;26,
OMXBBGI,OMX_Baltic_Benchmark_GI,02.06.2006,563;37,4;39,
OMXBBGI,OMX_Baltic_Benchmark_GI,05.06.2006,562;1,4;15,
OMXBBGI,OMX_Baltic_Benchmark_GI,06.06.2006,558;87,3;55,
OMXBBGI,OMX_Baltic_Benchmark_GI,07.06.2006,559;39,3;65,
OMXBBGI,OMX_Baltic_Benchmark_GI,08.06.2006,556;29,3;07,
OMXBBGI,OMX_Baltic_Benchmark_GI,09.06.2006,559;32,3;64,
OMXBBGI,OMX_Baltic_Benchmark_GI,12.06.2006,555;47,2;92,
OMXBBGI,OMX_Baltic_Benchmark_GI,13.06.2006,544;67,0;92,
OMXBBGI,OMX_Baltic_Benchmark_GI,14.06.2006,537;54,-0;4,
OMXBBGI,OMX_Baltic_Benchmark_GI,15.06.2006,535;09,-0;85,
OMXBBGI,OMX_Baltic_Benchmark_GI,16.06.2006,546;92,1;34,
OMXBBGI,OMX_Baltic_Benchmark_GI,19.06.2006,548;32,1;6,
OMXBBGI,OMX_Baltic_Benchmark_GI,20.06.2006,546;2,1;2,
OMXBBGI,OMX_Baltic_Benchmark_GI,21.06.2006,544;12,0;82,
OMXBBGI,OMX_Baltic_Benchmark_GI,22.06.2006,546;36,1;23,
OMXBBGI,OMX_Baltic_Benchmark_GI,23.06.2006,546;92,1;34,
OMXBBGI,OMX_Baltic_Benchmark_GI,26.06.2006,547;77,1;5,
OMXBBGI,OMX_Baltic_Benchmark_GI,27.06.2006,546;35,1;23,
OMXBBGI,OMX_Baltic_Benchmark_GI,28.06.2006,550;29,1;96,
OMXBBGI,OMX_Baltic_Benchmark_GI,29.06.2006,549;7,1;85,
OMXBBGI,OMX_Baltic_Benchmark_GI,30.06.2006,555;65,2;96,
OMXBBGI,OMX_Baltic_Benchmark_GI,03.07.2006,563;34,4;38,
OMXBBGI,OMX_Baltic_Benchmark_GI,04.07.2006,565;02,4;69,
OMXBBGI,OMX_Baltic_Benchmark_GI,05.07.2006,563;64,4;44,
OMXBBGI,OMX_Baltic_Benchmark_GI,06.07.2006,566,4;87,
OMXBBGI,OMX_Baltic_Benchmark_GI,07.07.2006,569;43,5;51,
OMXBBGI,OMX_Baltic_Benchmark_GI,10.07.2006,568;14,5;27,
OMXBBGI,OMX_Baltic_Benchmark_GI,11.07.2006,570;84,5;77,
OMXBBGI,OMX_Baltic_Benchmark_GI,12.07.2006,572;47,6;07,
OMXBBGI,OMX_Baltic_Benchmark_GI,13.07.2006,572;62,6;1,
OMXBBGI,OMX_Baltic_Benchmark_GI,14.07.2006,567;38,5;13,
OMXBBGI,OMX_Baltic_Benchmark_GI,17.07.2006,563;32,4;38,
OMXBBGI,OMX_Baltic_Benchmark_GI,18.07.2006,560;3,3;82,
OMXBBGI,OMX_Baltic_Benchmark_GI,19.07.2006,563;14,4;34,
OMXBBGI,OMX_Baltic_Benchmark_GI,20.07.2006,563;54,4;42,
OMXBBGI,OMX_Baltic_Benchmark_GI,21.07.2006,562;65,4;25,
OMXBBGI,OMX_Baltic_Benchmark_GI,24.07.2006,561;95,4;12,
OMXBBGI,OMX_Baltic_Benchmark_GI,25.07.2006,563;95,4;49,
OMXBBGI,OMX_Baltic_Benchmark_GI,26.07.2006,566;08,4;89,
OMXBBGI,OMX_Baltic_Benchmark_GI,27.07.2006,565;09,4;7,
OMXBBGI,OMX_Baltic_Benchmark_GI,28.07.2006,564;74,4;64,
